Size_window=800;500
(10, 30);['F', 4]
(10, 31);['F', 4]
(10, 32);['F', 4]
(10, 35);['F', 2]
(10, 36);['F', 2]
(11, 8);['F', 4]
(11, 9);['F', 4]
(11, 10);['F', 4]
(11, 11);['F', 4]
(11, 12);['F', 4]
(11, 13);['F', 4]
(11, 14);['F', 4]
(11, 15);['F', 4]
(11, 16);['F', 4]
(11, 17);['F', 4]
(11, 18);['F', 4]
(11, 19);['F', 4]
(11, 20);['F', 4]
(11, 21);['F', 4]
(11, 22);['F', 4]
(11, 23);['F', 4]
(11, 24);['F', 4]
(11, 25);['F', 4]
(11, 26);['F', 4]
(11, 27);['F', 4]
(11, 28);['F', 4]
(11, 29);['F', 4]
(11, 30);['F', 4]
(11, 31);['F', 4]
(11, 32);['F', 4]
(11, 33);['F', 3]
(11, 34);['F', 3]
(11, 35);['F', 2]
(11, 36);['F', 2]
(12, 8);['F', 4]
(12, 10);['F', 4]
(12, 12);['F', 4]
(12, 13);['F', 4]
(12, 14);['F', 4]
(12, 15);['F', 4]
(12, 16);['F', 4]
(12, 19);['F', 4]
(12, 22);['F', 4]
(12, 23);['F', 4]
(12, 26);['F', 4]
(12, 28);['F', 4]
(12, 31);['F', 4]
(12, 33);['F', 3]
(12, 34);['F', 3]
(12, 35);['F', 2]
(13, 15);['F', 4]
(13, 19);['F', 4]
(13, 20);['F', 4]
(13, 21);['F', 4]
(13, 23);['F', 4]
(13, 25);['F', 4]
(13, 30);['F', 4]
(13, 35);['F', 2]
(13, 36);['F', 2]
(14, 10);['F', 4]
(14, 18);['F', 4]
(14, 23);['F', 4]
(14, 27);['F', 4]
(14, 33);['F', 3]
(14, 36);['F', 2]
(15, 9);['F', 4]
(15, 14);['F', 4]
(15, 25);['F', 4]
(15, 27);['F', 4]
(15, 29);['F', 4]
(16, 20);['F', 4]
(16, 22);['F', 4]
(16, 23);['F', 4]
(16, 28);['F', 4]
(16, 34);['F', 3]
(16, 36);['F', 2]
(17, 16);['F', 4]
(17, 23);['F', 4]
(17, 29);['F', 4]
(17, 30);['F', 4]
(18, 16);['F', 4]
(18, 18);['F', 4]
(18, 19);['F', 4]
(18, 23);['F', 4]
(19, 8);['F', 4]
(19, 36);['F', 2]
(20, 16);['F', 4]
(20, 19);['F', 4]
(20, 27);['F', 4]
(20, 29);['F', 4]
(20, 31);['F', 4]
(20, 33);['F', 3]
(21, 25);['F', 4]
(21, 30);['F', 4]
(21, 34);['F', 3]
(21, 35);['F', 2]
(22, 19);['F', 4]
(22, 35);['F', 2]
(-3, 4);['F', 1]
(-2, 6);['F', 1]
(-2, 12);['F', 1]
(-2, 18);['F', 2]
(-2, 30);['F', 1]
(2, 17);['F', 3]
(2, 20);['F', 3]
(2, 28);['F', 2]
(2, 31);['F', 1]
(4, 11);['F', 3]
(4, 12);['F', 3]
(4, 16);['F', 4]
(5, 4);['F', 2]
(5, 6);['F', 3]
(5, 15);['F', 4]
(5, 17);['F', 4]
(5, 21);['F', 4]
(5, 22);['F', 4]
(5, 26);['F', 4]
(6, 13);['F', 4]
(6, 25);['F', 4]
(6, 28);['F', 4]
(6, 31);['F', 3]
(7, 11);['F', 4]
(7, 19);['F', 4]
(7, 25);['F', 4]
(8, 10);['F', 4]
(8, 11);['F', 4]
(8, 19);['F', 4]
(8, 21);['F', 4]
(8, 23);['F', 4]
(8, 25);['F', 4]
(8, 28);['F', 4]
(8, 32);['F', 3]
(9, 9);['F', 3]
(9, 12);['F', 4]
(9, 14);['F', 4]
(9, 17);['F', 4]
(9, 26);['F', 4]
(9, 32);['F', 3]
(10, 4);['F', 2]
(10, 7);['F', 3]
(10, 8);['F', 3]
(10, 12);['F', 4]
(10, 19);['F', 4]
(10, 21);['F', 4]
(10, 28);['F', 4]
(11, 4);['F', 2]
(11, 5);['F', 2]
(11, 6);['F', 3]
(11, 7);['F', 3]
(12, 4);['F', 2]
(12, 5);['F', 2]
(12, 6);['F', 3]
(12, 17);['F', 4]
(12, 18);['F', 4]
(12, 25);['F', 4]
(13, 4);['F', 2]
(13, 6);['F', 3]
(13, 7);['F', 3]
(13, 8);['F', 3]
(13, 9);['F', 3]
(13, 10);['F', 4]
(13, 11);['F', 4]
(13, 13);['F', 4]
(13, 17);['F', 4]
(13, 18);['F', 4]
(13, 28);['F', 4]
(13, 29);['F', 3]
(13, 31);['F', 3]
(14, 4);['F', 2]
(14, 7);['F', 3]
(14, 8);['F', 3]
(14, 9);['F', 3]
(14, 16);['F', 4]
(14, 20);['F', 4]
(14, 22);['F', 4]
(14, 24);['F', 4]
(14, 25);['F', 4]
(15, 5);['F', 2]
(15, 7);['F', 3]
(15, 12);['F', 4]
(15, 24);['F', 4]
(15, 30);['F', 3]
(16, 8);['F', 3]
(16, 11);['F', 4]
(16, 17);['F', 4]
(17, 22);['F', 4]
(18, 9);['F', 3]
(18, 13);['F', 4]
(18, 15);['F', 4]
(18, 28);['F', 4]
(18, 30);['F', 3]
(19, 12);['F', 4]
(19, 27);['F', 4]
(20, 4);['F', 2]
(21, 8);['F', 3]
(22, 13);['F', 4]
(22, 23);['F', 4]
(22, 30);['F', 3]
(25, 23);['F', 3]
(25, 28);['F', 3]
(-1, 3);['F', 1]
(-1, 5);['F', 1]
(2, 26);['F', 2]
(3, 13);['F', 2]
(3, 19);['F', 2]
(4, 28);['F', 2]
(5, 12);['F', 3]
(5, 19);['F', 4]
(6, 3);['F', 1]
(6, 18);['F', 4]
(6, 21);['F', 4]
(7, 2);['F', 1]
(7, 8);['F', 2]
(7, 9);['F', 2]
(8, 8);['F', 2]
(8, 22);['F', 4]
(8, 24);['F', 4]
(8, 26);['F', 4]
(10, 2);['F', 1]
(10, 3);['F', 1]
(10, 6);['F', 2]
(10, 13);['F', 4]
(10, 26);['F', 4]
(12, 3);['F', 1]
(12, 7);['F', 2]
(12, 9);['F', 2]
(12, 11);['F', 3]
(12, 20);['F', 4]
(12, 24);['F', 4]
(13, 2);['F', 1]
(13, 3);['F', 1]
(13, 5);['F', 1]
(13, 12);['F', 3]
(13, 14);['F', 4]
(13, 16);['F', 4]
(13, 22);['F', 4]
(13, 24);['F', 4]
(13, 26);['F', 4]
(13, 27);['F', 4]
(14, 2);['F', 1]
(14, 3);['F', 1]
(14, 6);['F', 2]
(14, 12);['F', 3]
(14, 14);['F', 4]
(14, 17);['F', 4]
(14, 19);['F', 4]
(14, 21);['F', 4]
(15, 3);['F', 1]
(15, 8);['F', 2]
(15, 10);['F', 3]
(15, 16);['F', 4]
(15, 19);['F', 4]
(15, 20);['F', 4]
(15, 22);['F', 4]
(16, 7);['F', 2]
(16, 9);['F', 2]
(16, 12);['F', 3]
(16, 15);['F', 4]
(17, 4);['F', 1]
(17, 6);['F', 2]
(17, 17);['F', 4]
(17, 28);['F', 3]
(18, 17);['F', 4]
(18, 24);['F', 4]
(19, 3);['F', 1]
(19, 18);['F', 4]
(20, 18);['F', 4]
(20, 26);['F', 4]
(21, 5);['F', 1]
(21, 10);['F', 3]
(22, 12);['F', 3]
(22, 15);['F', 4]
(22, 18);['F', 4]
(22, 26);['F', 4]
(25, 4);['F', 0]
(25, 5);['F', 0]
(26, 9);['F', 1]
(26, 15);['F', 2]
(26, 19);['F', 2]
(27, 12);['F', 2]
(27, 18);['F', 2]
(5, 28);['F', 2]
(5, 34);['F', 2]
(7, 33);['F', 2]
(8, 7);['F', 1]
(10, 33);['F', 2]
(12, 27);['F', 3]
(13, 32);['F', 2]
(14, 29);['F', 2]
(14, 34);['F', 2]
(15, 31);['F', 2]
(15, 33);['F', 2]
(16, 14);['F', 3]
(16, 19);['F', 3]
(16, 30);['F', 2]
(16, 31);['F', 2]
(17, 9);['F', 1]
(17, 11);['F', 2]
(17, 20);['F', 3]
(17, 27);['F', 3]
(17, 31);['F', 2]
(18, 10);['F', 2]
(18, 11);['F', 2]
(18, 12);['F', 2]
(18, 20);['F', 3]
(18, 21);['F', 3]
(18, 25);['F', 3]
(18, 26);['F', 3]
(18, 33);['F', 2]
(18, 34);['F', 2]
(19, 6);['F', 1]
(19, 7);['F', 1]
(19, 9);['F', 1]
(19, 10);['F', 2]
(19, 11);['F', 2]
(19, 13);['F', 3]
(19, 14);['F', 3]
(19, 15);['F', 3]
(19, 16);['F', 3]
(19, 17);['F', 3]
(19, 19);['F', 3]
(19, 20);['F', 3]
(19, 21);['F', 3]
(19, 22);['F', 3]
(19, 23);['F', 3]
(19, 24);['F', 3]
(19, 25);['F', 3]
(19, 26);['F', 3]
(19, 28);['F', 2]
(19, 29);['F', 2]
(19, 30);['F', 2]
(19, 31);['F', 2]
(19, 32);['F', 2]
(19, 33);['F', 2]
(19, 34);['F', 2]
(20, 7);['F', 1]
(20, 8);['F', 1]
(20, 10);['F', 2]
(20, 13);['F', 3]
(20, 20);['F', 3]
(20, 21);['F', 3]
(20, 24);['F', 3]
(20, 25);['F', 3]
(20, 32);['F', 2]
(21, 20);['F', 3]
(21, 22);['F', 3]
(21, 27);['F', 3]
(21, 28);['F', 2]
(21, 33);['F', 2]
(22, 8);['F', 1]
(22, 14);['F', 3]
(22, 21);['F', 3]
(22, 25);['F', 3]
(22, 28);['F', 2]
(25, 6);['F', 0]
(25, 13);['F', 1]
(25, 19);['F', 1]
(25, 34);['F', 1]
(26, 13);['F', 1]
(26, 18);['F', 1]
(26, 22);['F', 1]
(26, 27);['F', 1]
(27, 7);['F', 0]
(27, 22);['F', 1]
(27, 24);['F', 1]
(28, 11);['F', 1]
(28, 12);['F', 1]
(28, 20);['F', 1]
(28, 24);['F', 1]
(28, 34);['F', 1]
(30, 23);['F', 1]
(31, 32);['F', 1]
(31, 33);['F', 1]
(32, 21);['F', 1]
(33, 32);['F', 0]
(4, 22);['F', 2]
(4, 36);['F', 1]
(5, 31);['F', 1]
(6, 35);['F', 1]
(6, 37);['F', 1]
(7, 23);['F', 2]
(7, 28);['F', 1]
(7, 34);['F', 1]
(7, 35);['F', 1]
(7, 37);['F', 1]
(8, 31);['F', 1]
(9, 20);['F', 2]
(9, 28);['F', 1]
(9, 33);['F', 1]
(9, 36);['F', 1]
(13, 34);['F', 1]
(13, 37);['F', 1]
(14, 15);['F', 2]
(15, 11);['F', 1]
(15, 21);['F', 2]
(15, 23);['F', 2]
(15, 26);['F', 2]
(15, 32);['F', 1]
(15, 34);['F', 1]
(15, 35);['F', 1]
(15, 36);['F', 1]
(16, 16);['F', 2]
(16, 18);['F', 2]
(16, 21);['F', 2]
(16, 25);['F', 2]
(16, 35);['F', 1]
(16, 37);['F', 1]
(17, 19);['F', 2]
(17, 24);['F', 2]
(17, 25);['F', 2]
(17, 32);['F', 1]
(17, 34);['F', 1]
(17, 35);['F', 1]
(17, 36);['F', 1]
(18, 14);['F', 2]
(18, 22);['F', 2]
(18, 27);['F', 2]
(18, 29);['F', 1]
(18, 31);['F', 1]
(18, 32);['F', 1]
(18, 35);['F', 1]
(18, 36);['F', 1]
(18, 37);['F', 1]
(19, 37);['F', 1]
(20, 15);['F', 2]
(20, 17);['F', 2]
(20, 23);['F', 2]
(20, 34);['F', 1]
(20, 35);['F', 1]
(21, 18);['F', 2]
(21, 37);['F', 1]
(22, 16);['F', 2]
(22, 22);['F', 2]
(22, 29);['F', 1]
(22, 32);['F', 1]
(25, 29);['F', 0]
(26, 10);['F', 0]
(26, 25);['F', 0]
(28, 29);['F', 0]
(28, 36);['F', 0]
(29, 13);['F', 0]
(29, 14);['F', 0]
(29, 19);['F', 0]
(29, 33);['F', 0]
(30, 22);['F', 0]
(32, 12);['F', 0]
(32, 14);['F', 0]
(32, 35);['F', 0]
(-5, 38);['F', 0]
(-5, 41);['F', 0]
(-4, 14);['F', 1]
(-3, 20);['F', 1]
(-3, 27);['F', 1]
(-3, 36);['F', 0]
(-2, 25);['F', 1]
(-2, 39);['F', 0]
(-2, 40);['F', 0]
(-2, 41);['F', 0]
(-1, 18);['F', 1]
(-1, 23);['F', 1]
(-1, 39);['F', 0]
(2, 16);['F', 1]
(3, 15);['F', 1]
(3, 32);['F', 0]
(4, 14);['F', 1]
(4, 20);['F', 1]
(5, 20);['F', 1]
(5, 27);['F', 1]
(5, 37);['F', 0]
(6, 16);['F', 1]
(6, 27);['F', 1]
(6, 29);['F', 0]
(6, 33);['F', 0]
(7, 13);['F', 1]
(7, 16);['F', 1]
(7, 20);['F', 1]
(7, 26);['F', 1]
(8, 14);['F', 1]
(8, 17);['F', 1]
(8, 20);['F', 1]
(8, 29);['F', 0]
(8, 30);['F', 0]
(8, 33);['F', 0]
(8, 34);['F', 0]
(8, 35);['F', 0]
(8, 41);['F', 0]
(9, 15);['F', 1]
(9, 16);['F', 1]
(9, 19);['F', 1]
(9, 21);['F', 1]
(9, 22);['F', 1]
(9, 25);['F', 1]
(9, 27);['F', 1]
(9, 29);['F', 0]
(9, 30);['F', 0]
(9, 34);['F', 0]
(9, 35);['F', 0]
(9, 37);['F', 0]
(9, 40);['F', 0]
(9, 41);['F', 0]
(10, 34);['F', 0]
(10, 37);['F', 0]
(10, 41);['F', 0]
(11, 37);['F', 0]
(12, 29);['F', 0]
(12, 30);['F', 0]
(13, 33);['F', 0]
(15, 41);['F', 0]
(16, 40);['F', 0]
(17, 40);['F', 0]
(18, 41);['F', 0]
(21, 24);['F', 1]
(21, 40);['F', 0]
(22, 41);['F', 0]
(-6, 11);['F', 0]
(-6, 23);['F', 0]
(-6, 27);['F', 0]
(-5, 16);['F', 0]
(-5, 22);['F', 0]
(-5, 23);['F', 0]
(-4, 22);['F', 0]
(-3, 5);['F', 0]
(-3, 24);['F', 0]
(-2, 16);['F', 0]
(-1, 11);['F', 0]
(-1, 13);['F', 0]
(-1, 16);['F', 0]
(2, -1);['F', 0]
(2, 5);['F', 0]
(2, 8);['F', 0]
(2, 22);['F', 0]
(2, 25);['F', 0]
(3, 3);['F', 0]
(3, 10);['F', 0]
(3, 22);['F', 0]
(4, 3);['F', 0]
(4, 5);['F', 0]
(4, 9);['F', 0]
(4, 10);['F', 0]
(4, 13);['F', 0]
(4, 24);['F', 0]
(4, 25);['F', 0]
(4, 27);['F', 0]
(5, 2);['F', 0]
(5, 9);['F', 0]
(5, 10);['F', 0]
(5, 16);['F', 0]
(5, 24);['F', 0]
(6, 6);['F', 0]
(6, 7);['F', 0]
(6, 9);['F', 0]
(6, 15);['F', 0]
(7, -1);['F', 0]
(7, 4);['F', 0]
(7, 5);['F', 0]
(7, 6);['F', 0]
(7, 10);['F', 0]
(8, -1);['F', 0]
(8, 2);['F', 0]
(8, 3);['F', 0]
(8, 4);['F', 0]
(8, 5);['F', 0]
(8, 6);['F', 0]
(8, 9);['F', 0]
(8, 12);['F', 0]
(8, 15);['F', 0]
(8, 16);['F', 0]
(8, 27);['F', 0]
(9, -1);['F', 0]
(9, 3);['F', 0]
(9, 4);['F', 0]
(10, -1);['F', 0]
(10, 5);['F', 0]
(11, -1);['F', 0]
(14, -1);['F', 0]
(14, 13);['F', 0]
(15, -1);['F', 0]
(16, -1);['F', 0]
(16, 6);['F', 0]
(16, 26);['F', 0]
(17, 13);['F', 0]
(18, -1);['F', 0]
(21, 15);['F', 0]
