Size_window=800;500
(5, 11);['O', 0]
(5, 13);['O', 0]
(5, 14);['O', 0]
(5, 15);['O', 0]
(5, 16);['O', 0]
(3, 16);['O', 0]
(2, 16);['O', 0]
(4, 16);['O', 0]
(3, 15);['O', 0]
(4, 14);['O', 0]
(4, 15);['O', 0]
(3, 14);['O', 0]
(4, 13);['O', 0]
(4, 12);['O', 0]
(4, 11);['O', 0]
(3, 11);['O', 0]
(3, 12);['O', 0]
(2, 12);['O', 0]
(2, 13);['O', 0]
(3, 13);['O', 0]
(2, 14);['O', 0]
(2, 15);['O', 0]
(2, 11);['O', 0]
(14, 10);['O', 0]
(14, 11);['O', 0]
(14, 12);['O', 0]
(13, 12);['O', 0]
(13, 11);['O', 0]
(13, 10);['O', 0]
(12, 10);['O', 0]
(11, 10);['O', 0]
(10, 10);['O', 0]
(12, 11);['O', 0]
(11, 11);['O', 0]
(10, 11);['O', 0]
(10, 12);['O', 0]
(11, 12);['O', 0]
(12, 12);['O', 0]
(16, 11);['O', 0]
(17, 11);['O', 0]
(19, 11);['O', 0]
(21, 11);['O', 0]
(22, 11);['O', 0]
(20, 11);['O', 0]
(18, 11);['O', 0]
(12, 13);['O', 0]
(13, 13);['O', 0]
(12, 14);['O', 0]
(13, 14);['O', 0]
(13, 16);['O', 0]
(12, 15);['O', 0]
(13, 15);['O', 0]
(12, 16);['O', 0]
(12, 17);['O', 0]
(13, 17);['O', 0]
(16, 14);['O', 0]
(17, 14);['O', 0]
(16, 15);['O', 0]
(17, 16);['O', 0]
(17, 15);['O', 0]
(16, 16);['O', 0]
(16, 17);['O', 0]
(17, 17);['O', 0]
(5, 4);['O', 0]
(5, 3);['O', 0]
(5, 2);['O', 0]
(4, 2);['O', 0]
(4, 3);['O', 0]
(9, 5);['O', 0]
(5, 21);['O', 0]
(6, 21);['O', 0]
(7, 21);['O', 0]
(7, 22);['O', 0]
(7, 23);['O', 0]
(7, 24);['O', 0]
(6, 24);['O', 0]
(6, 23);['O', 0]
(6, 22);['O', 0]
(5, 22);['O', 0]
(5, 23);['O', 0]
(5, 24);['O', 0]
(12, 37);['O', 0]
(13, 37);['O', 0]
(13, 36);['S', 0]
(12, 36);['S', 0]
(13, 35);['O', 0]
(12, 35);['O', 0]
(12, 34);['O', 0]
(13, 34);['O', 0]
(13, 33);['O', 0]
(12, 33);['O', 0]
(12, 32);['O', 0]
(13, 32);['O', 0]
(13, 31);['O', 0]
(12, 31);['O', 0]
(13, 30);['O', 0]
(12, 30);['O', 0]
(12, 29);['O', 0]
(13, 29);['O', 0]
(13, 28);['O', 0]
(12, 27);['O', 0]
(13, 27);['O', 0]
(12, 28);['O', 0]
(11, 27);['O', 0]
(11, 28);['O', 0]
(10, 28);['O', 0]
(10, 27);['O', 0]
(14, 27);['O', 0]
(14, 28);['O', 0]
(15, 28);['O', 0]
(15, 27);['O', 0]
(16, 27);['O', 0]
(16, 28);['O', 0]
(17, 28);['O', 0]
(17, 27);['O', 0]
(9, 27);['O', 0]
(9, 28);['O', 0]
(22, 21);['O', 0]
(21, 21);['O', 0]
(21, 22);['O', 0]
(22, 22);['O', 0]
(21, 23);['O', 0]
(22, 23);['O', 0]
(21, 24);['O', 0]
(22, 24);['O', 0]
(21, 25);['O', 0]
(22, 25);['O', 0]
(6, 15);['O', 0]
(7, 15);['O', 0]
(8, 15);['S', 0]
(10, 15);['O', 0]
(11, 15);['O', 0]
(9, 15);['S', 0]
(15, 32);['F', 0]
(15, 34);['F', 0]
(15, 35);['F', 0]
(15, 36);['F', 0]
(16, 32);['F', 1]
(16, 34);['F', 1]
(16, 35);['F', 1]
(17, 32);['F', 1]
(17, 33);['F', 1]
(17, 34);['F', 1]
(17, 35);['F', 1]
(17, 36);['F', 0]
(18, 34);['F', 3]
(18, 35);['F', 2]
(18, 36);['F', 1]
(18, 30);['F', 1]
(18, 31);['F', 2]
(18, 32);['F', 3]
(18, 33);['F', 3]
(19, 30);['F', 2]
(19, 31);['F', 3]
(19, 32);['F', 3]
(20, 29);['F', 2]
(20, 30);['F', 2]
(20, 31);['F', 3]
(20, 32);['F', 3]
(20, 33);['F', 3]
(21, 29);['F', 2]
(21, 32);['F', 2]
(21, 33);['F', 2]
(22, 30);['F', 2]
(22, 31);['F', 2]
(15, 22);['F', 3]
(16, 24);['F', 3]
(16, 25);['F', 3]
(17, 22);['F', 2]
(17, 23);['F', 2]
(17, 24);['F', 2]
(17, 25);['F', 2]
(17, 26);['F', 2]
(18, 22);['F', 0]
(18, 23);['F', 1]
(18, 25);['F', 2]
(19, 28);['F', 1]
(20, 25);['F', 1]
(20, 26);['F', 1]
(20, 27);['F', 2]
(20, 28);['F', 1]
(21, 26);['F', 1]
(21, 27);['F', 2]
(21, 28);['F', 1]
(22, 27);['F', 2]
(22, 28);['F', 1]
(19, 34);['F', 2]
(19, 35);['F', 1]
(19, 36);['F', 0]
(20, 34);['F', 2]
(20, 35);['F', 1]
(20, 36);['F', 0]
(21, 34);['F', 1]
(21, 35);['F', 0]
(22, 33);['F', 1]
(22, 36);['F', 4]
(4, 29);['F', 0]
(4, 31);['F', 1]
(4, 33);['F', 2]
(5, 32);['F', 3]
(5, 33);['F', 3]
(6, 29);['F', 2]
(6, 30);['F', 3]
(6, 31);['F', 3]
(6, 32);['F', 3]
(6, 33);['F', 2]
(7, 30);['F', 3]
(7, 31);['F', 3]
(7, 32);['F', 3]
(7, 33);['F', 2]
(8, 30);['F', 2]
(8, 33);['F', 2]
(4, 36);['F', 1]
(5, 36);['F', 1]
(6, 35);['F', 0]
(6, 36);['F', 0]
(6, 37);['F', 0]
(7, 35);['F', 0]
(8, 35);['F', 1]
(8, 34);['F', 0]
(8, 36);['F', 0]
(9, 32);['F', 2]
(9, 36);['F', 0]
(10, 32);['F', 1]
(10, 33);['F', 0]
(10, 34);['F', 0]
(10, 35);['F', 0]
(10, 36);['F', 0]
(11, 34);['F', 0]
(11, 36);['F', 0]
(7, 29);['F', 1]
(8, 28);['F', 1]
(8, 29);['F', 1]
(8, 31);['F', 1]
(8, 32);['F', 1]
(9, 29);['F', 1]
(9, 31);['F', 1]
(10, 30);['F', 0]
(10, 31);['F', 0]
(3, 30);['F', 0]
(3, 33);['F', 1]
(4, 32);['F', 1]
(5, 30);['F', 1]
(5, 31);['F', 1]
(5, 34);['F', 1]
(6, 34);['F', 0]
(2, 32);['F', 0]
(2, 33);['F', 0]
(2, 34);['F', 0]
(2, 35);['F', 0]
(3, 32);['F', 0]
(3, 34);['F', 0]
(3, 35);['F', 0]
(3, 36);['F', 0]
(4, 35);['F', 0]
(5, 35);['F', 0]
(9, 30);['F', 0]
(6, 27);['F', 0]
(7, 25);['F', 0]
(7, 27);['F', 0]
(7, 28);['F', 0]
(8, 24);['F', 1]
(8, 25);['F', 1]
(8, 26);['F', 1]
(8, 27);['F', 1]
(9, 24);['F', 3]
(9, 25);['F', 3]
(9, 26);['F', 3]
(9, 23);['F', 2]
(10, 23);['F', 2]
(10, 24);['F', 2]
(10, 25);['F', 2]
(10, 26);['F', 2]
(11, 24);['F', 2]
(11, 25);['F', 2]
(12, 23);['F', 3]
(11, 23);['F', 1]
(11, 26);['F', 1]
(12, 24);['F', 2]
(12, 26);['F', 1]
(13, 22);['F', 2]
(13, 26);['F', 3]
(14, 22);['F', 2]
(14, 23);['F', 2]
(14, 24);['F', 2]
(14, 25);['F', 2]
(14, 26);['F', 2]
(15, 25);['F', 2]
(15, 26);['F', 2]
(16, 26);['F', 2]
(13, 23);['F', 2]
(13, 25);['F', 2]
(15, 23);['F', 1]
(15, 24);['F', 1]
(16, 22);['F', 1]
(16, 23);['F', 0]
(13, 24);['F', 0]
(19, 23);['F', 0]
(19, 26);['F', 0]
(20, 23);['F', 0]
(20, 24);['F', 0]
(22, 26);['F', 0]
(19, 27);['F', 0]
(21, 30);['F', 1]
(21, 31);['F', 1]
(16, 31);['F', 0]
(17, 31);['F', 0]
(20, 16);['F', 0]
(21, 14);['F', 0]
(21, 15);['F', 0]
(22, 14);['F', 0]
(22, 15);['F', 0]
(22, 16);['F', 0]
(22, 17);['F', 0]
(22, 18);['F', 0]
(18, 8);['F', 3]
(19, 8);['F', 1]
(19, 9);['F', 1]
(20, 8);['F', 1]
(20, 9);['F', 1]
(20, 10);['F', 1]
(21, 8);['F', 1]
(21, 10);['F', 1]
(22, 8);['F', 1]
(22, 9);['F', 1]
(22, 10);['F', 1]
(18, 6);['F', 4]
(18, 7);['F', 2]
(18, 10);['F', 0]
(20, 6);['F', 2]
(20, 7);['F', 0]
(21, 9);['F', 0]
(22, 6);['F', 2]
(18, 3);['F', 1]
(18, 4);['F', 3]
(19, 3);['F', 1]
(19, 4);['F', 1]
(20, 2);['F', 1]
(20, 3);['F', 1]
(20, 4);['F', 1]
(20, 5);['F', 1]
(21, 3);['F', 1]
(21, 5);['F', 1]
(22, 3);['F', 1]
(18, 2);['F', 0]
(19, 6);['F', 0]
(21, 6);['F', 0]
(12, 6);['F', 0]
(13, 5);['F', 0]
(13, 7);['F', 0]
(14, 5);['F', 2]
(14, 6);['F', 2]
(14, 7);['F', 2]
(15, 4);['F', 2]
(15, 5);['F', 2]
(15, 6);['F', 2]
(16, 4);['F', 2]
(16, 5);['F', 2]
(16, 6);['F', 2]
(15, 7);['F', 1]
(16, 7);['F', 1]
(16, 8);['F', 1]
(17, 4);['F', 1]
(17, 5);['F', 1]
(17, 6);['F', 1]
(17, 7);['F', 1]
(17, 8);['F', 0]
(18, 5);['F', 0]
