Size_window=800;500
(15.0, 38.0);['O', 0.0]
(14.0, 38.0);['O', 0.0]
(13.0, 38.0);['O', 0.0]
(12.0, 38.0);['O', 0.0]
(11.0, 38.0);['O', 0.0]
(10.0, 38.0);['O', 0.0]
(9.0, 38.0);['O', 0.0]
(8.0, 38.0);['O', 0.0]
(7.0, 38.0);['O', 0.0]
(6.0, 38.0);['O', 0.0]
(5.0, 38.0);['O', 0.0]
(4.0, 38.0);['O', 0.0]
(3.0, 38.0);['O', 0.0]
(2.0, 38.0);['O', 0.0]
(1.0, 38.0);['O', 0.0]
(1.0, 37.0);['O', 0.0]
(1.0, 35.0);['O', 0.0]
(1.0, 36.0);['O', 0.0]
(1.0, 34.0);['O', 0.0]
(1.0, 33.0);['O', 0.0]
(1.0, 31.0);['O', 0.0]
(1.0, 32.0);['O', 0.0]
(1.0, 29.0);['O', 0.0]
(1.0, 28.0);['O', 0.0]
(1.0, 30.0);['O', 0.0]
(1.0, 27.0);['O', 0.0]
(1.0, 26.0);['O', 0.0]
(1.0, 25.0);['O', 0.0]
(1.0, 24.0);['O', 0.0]
(1.0, 23.0);['O', 0.0]
(1.0, 22.0);['O', 0.0]
(1.0, 21.0);['O', 0.0]
(1.0, 20.0);['O', 0.0]
(1.0, 19.0);['O', 0.0]
(1.0, 18.0);['O', 0.0]
(1.0, 17.0);['O', 0.0]
(1.0, 16.0);['O', 0.0]
(1.0, 15.0);['O', 0.0]
(1.0, 14.0);['O', 0.0]
(1.0, 12.0);['O', 0.0]
(1.0, 13.0);['O', 0.0]
(1.0, 11.0);['O', 0.0]
(1.0, 10.0);['O', 0.0]
(1.0, 9.0);['O', 0.0]
(1.0, 8.0);['O', 0.0]
(1.0, 7.0);['O', 0.0]
(1.0, 6.0);['O', 0.0]
(1.0, 5.0);['O', 0.0]
(1.0, 4.0);['O', 0.0]
(1.0, 3.0);['O', 0.0]
(1.0, 2.0);['O', 0.0]
(6.0, 7.0);['O', 0.0]
(7.0, 7.0);['O', 0.0]
(8.0, 7.0);['O', 0.0]
(9.0, 7.0);['O', 0.0]
(10.0, 7.0);['O', 0.0]
(11.0, 7.0);['O', 0.0]
(12.0, 7.0);['O', 0.0]
(10, 2);['F', 1]
(11, 2);['F', 1]
(9, 2);['F', 0.2]
(10, 3);['F', 1]
(11, 3);['F', 1.0]
(11, 4);['F', 1.0]
(12, 4);['F', 0.5]
